query,seed_latency_ms,graph_latency_ms,retrieval_latency_ms,traversal_depth,graph_nodes,graph_edges,graph_coverage,path_coherence
Identify risks involving both termination and liability clauses,0.7462501525878906,0.38123130798339844,90.45124053955078,2,40,58,0.65,0.9033979892730712
What obligations survive termination and how do they interact with limitation of liability,1.0287761688232422,0.4398822784423828,61.42616271972656,2,42,82,0.5,0.8551422134041786
Find conflicts between indemnification and limitation of liability,0.8969306945800781,0.46825408935546875,61.675071716308594,2,40,67,0.65,0.8846122841040294
Identify risks where confidentiality obligations collide with disclosure or audit rights,0.8189678192138672,0.3981590270996094,21.275043487548828,2,26,52,0.75,0.9084549322724342
Assess whether termination triggers payment obligations or refund obligations,0.720977783203125,0.40602684020996094,292.1159267425537,2,40,53,0.65,0.9359605650107066
Summarize termination for convenience and termination for cause,1.1310577392578125,0.5500316619873047,35.36581993103027,2,40,50,0.8,0.9291021684805553
Summarize limitation of liability and excluded damages,0.7028579711914062,0.2951622009277344,279.94608879089355,2,40,68,0.55,0.8672891318798065
Summarize indemnity and defense obligations,0.5929470062255859,0.31375885009765625,7.192850112915039,2,43,79,0.8,0.8988404562979033
"Summarize confidentiality scope, exclusions, and duration",0.6761550903320312,0.3399848937988281,273.01502227783203,2,25,50,0.75,0.9156952460606893
Summarize governing law and venue,0.6639957427978516,0.3409385681152344,30.392169952392578,2,40,36,0.6,0.9480749984582265
Summarize assignment restrictions and change of control,0.5691051483154297,0.36597251892089844,6.721019744873047,2,40,44,0.5,0.9617829461892445
Summarize force majeure conditions and notice requirements,0.5159378051757812,0.3459453582763672,5.936145782470703,2,40,38,0.55,0.9331047654151916
Summarize warranty disclaimers and remedy limitations,0.49996376037597656,0.30303001403808594,6.63304328918457,2,40,54,0.7,0.9035476684570313
Summarize payment terms and late payment penalties,0.47206878662109375,0.31113624572753906,5.532979965209961,2,40,61,0.65,0.936575444539388
"Summarize dispute resolution, arbitration, and escalation steps",0.47898292541503906,0.3509521484375,5.901813507080078,2,40,45,0.6,0.9385398467381795
Summarize IP ownership and license grants,0.4761219024658203,0.2970695495605469,5.621910095214844,2,46,68,0.6,0.875764442814721
Summarize audit rights and record retention requirements,0.5159378051757812,0.2989768981933594,5.7010650634765625,2,41,65,0.65,0.882503419153152
Summarize non-solicitation and non-compete restrictions,0.46896934509277344,0.3361701965332031,5.853891372680664,2,40,70,0.55,0.9004366556803386
Summarize data security obligations and breach notification requirements,0.5700588226318359,0.4100799560546875,6.4487457275390625,2,40,84,0.7,0.91801238656044
Summarize insurance requirements and proof of coverage,0.5168914794921875,0.3268718719482422,5.769014358520508,2,43,74,0.55,0.8972257429903204
Identify clauses that could create unlimited liability exposure,0.4761219024658203,0.31304359436035156,5.613088607788086,2,40,67,0.65,0.9044080932935079
Identify clauses that could allow unilateral changes to pricing or scope,0.7867813110351562,0.2560615539550781,137.7251148223877,2,40,82,0.6,0.8447505712509156
Identify clauses that shift regulatory compliance risk to one party,0.5998611450195312,0.3368854522705078,7.009983062744141,2,47,150,0.6,0.8442223072052002
Identify clauses that create unclear acceptance criteria or deliverables,0.5939006805419922,0.3750324249267578,8.186101913452148,2,45,51,0.55,0.8889648045812334
Identify clauses that create broad termination rights with short notice,0.5080699920654297,0.35691261291503906,5.9299468994140625,2,40,48,0.8,0.9306748032569885
